transaction_id,timestamp,sender_id,receiver_id,amount,currency,tx_type,is_fraud,flag_reason
TXN-40940927,2026-04-21T10:50:00.187276,ACC-7599-EZCC,ACC-3216-JNUZ,10717.5,USD,ach,0,
TXN-26720217,2026-02-16T05:30:00.187276,ACC-8766-UUNS,ACC-4356-SSZP,2304.92,USD,swift,0,
TXN-39185961,2026-06-03T23:55:00.187276,ACC-9715-GQPO,ACC-1877-IYLU,4996.68,USD,swift,0,
TXN-25530022,2026-03-24T20:23:00.187276,ACC-1968-NBYW,ACC-1671-JDZW,8781.99,USD,wire,0,
TXN-15473047,2026-05-05T05:40:00.187276,ACC-6474-RGRX,ACC-3993-TGSA,1780.17,USD,ach,1,off_hours|smurfing
TXN-29743403,2026-04-12T02:27:00.187276,ACC-4613-OTIS,ACC-2428-YFEX,5075.14,USD,swift,0,
TXN-39860587,2026-01-20T10:08:00.187276,ACC-3700-QZNW,ACC-8213-DHAO,453.15,USD,swift,0,
TXN-88299411,2026-05-09T04:52:00.187276,ACC-1586-BRCN,ACC-7412-BCEU,1192.55,USD,internal,1,off_hours|smurfing
TXN-17749874,2026-03-05T07:27:00.187276,ACC-4944-FXJX,ACC-7180-FWWO,12531.92,USD,swift,0,
TXN-21369333,2025-12-13T18:44:00.187276,ACC-6474-RGRX,ACC-6849-GUOW,9649.49,USD,ach,1,structuring
TXN-77799228,2025-12-14T14:19:00.187276,ACC-8213-DHAO,ACC-0522-SEZC,1760.12,USD,ach,0,
TXN-04761597,2026-04-07T17:26:00.187276,ACC-4976-XHSF,ACC-5586-JMMG,9128.35,USD,wire,0,
TXN-92285070,2026-01-19T04:16:00.187276,ACC-7391-EZJG,ACC-7787-USXO,10176.34,USD,swift,0,
TXN-49518646,2026-03-20T17:22:00.187276,ACC-9820-FVJQ,ACC-0499-CKYW,95237.4,USD,wire,1,large_transfer
TXN-46683057,2026-05-01T20:32:00.187276,ACC-5508-YSNF,ACC-6325-GLSU,1080.9,USD,internal,0,
TXN-79191691,2025-12-12T09:02:00.187276,ACC-0248-AWBN,ACC-7229-BQGW,9552.0,USD,swift,0,
TXN-61563909,2026-01-17T08:21:00.187276,ACC-6987-MLVW,ACC-3028-BOGM,9257.89,USD,swift,0,
TXN-30879374,2026-04-07T09:02:00.187276,ACC-6849-IHCP,ACC-0457-OFHM,12783.11,USD,wire,0,
TXN-62082975,2026-02-18T09:25:00.187276,ACC-1481-BDWR,ACC-1992-AVFL,10039.42,USD,internal,0,
TXN-38565070,2025-12-16T11:04:00.187276,ACC-4850-YYUJ,ACC-7421-DLCM,5354.63,USD,internal,0,
TXN-18991610,2026-03-06T04:06:00.187276,ACC-0941-FUKL,ACC-7230-ENSG,201.76,USD,ach,0,
TXN-67995354,2025-12-30T02:56:00.187276,ACC-2996-WTSL,ACC-9020-XNJH,3642.84,USD,swift,0,
TXN-75037172,2026-05-23T17:41:00.187276,ACC-7412-BCEU,ACC-7022-XMNL,4448.82,USD,swift,0,
TXN-04716542,2026-06-04T02:29:00.187276,ACC-3661-ATVI,ACC-4272-FVCX,8324.42,USD,internal,0,
TXN-18808954,2026-03-27T18:45:00.187276,ACC-0986-PEOK,ACC-3028-BOGM,4634.01,USD,ach,0,
TXN-37176064,2026-01-08T18:22:00.187276,ACC-5586-JMMG,ACC-8620-EARQ,10367.95,USD,ach,0,
TXN-76290052,2026-02-02T18:40:00.187276,ACC-5851-BJFQ,ACC-9020-XNJH,7893.32,USD,internal,0,
TXN-16597575,2026-01-03T01:28:00.187276,ACC-7937-EVBY,ACC-2280-VMVP,261.52,USD,ach,0,
TXN-39132856,2026-02-16T20:13:00.187276,ACC-2492-KRUJ,ACC-3993-TGSA,13033.49,USD,swift,0,
TXN-93347569,2026-01-03T19:46:00.187276,ACC-8851-TRSL,ACC-4039-NPGB,5143.55,USD,wire,0,
TXN-61657801,2026-02-11T10:17:00.187276,ACC-9680-LSCO,ACC-7599-EZCC,1157.53,USD,wire,0,
TXN-96346864,2026-01-16T00:01:00.187276,ACC-0788-KGMR,ACC-8766-UUNS,14909.08,USD,wire,0,
TXN-00384474,2026-04-30T08:48:00.187276,ACC-6439-UBCZ,ACC-0120-ZCJY,11646.62,USD,swift,0,
TXN-76477002,2026-04-03T09:29:00.187276,ACC-3597-YYKC,ACC-0926-ANOM,8551.01,USD,wire,0,
TXN-83840889,2026-05-14T18:16:00.187276,ACC-2735-MMIK,ACC-0634-OPGP,3204.83,USD,wire,0,
TXN-24181316,2026-01-18T02:21:00.187276,ACC-8301-GCPS,ACC-8462-PUQY,6157.34,USD,swift,0,
TXN-19954738,2026-02-20T20:24:00.187276,ACC-2280-VMVP,ACC-6439-UBCZ,12901.12,USD,wire,0,
TXN-73888885,2026-06-02T03:09:00.187276,ACC-6047-IZOL,ACC-0115-ZMEK,9934.69,USD,ach,0,
TXN-35796751,2026-03-26T22:44:00.187276,ACC-9794-NASO,ACC-2662-WECQ,12408.14,USD,wire,0,
TXN-99952364,2025-12-24T01:00:00.187276,ACC-1481-BDWR,ACC-6849-IHCP,6615.34,USD,swift,0,
TXN-70787612,2026-06-03T04:54:00.187276,ACC-0358-QCKT,ACC-1515-PFEI,8122.72,USD,swift,0,
TXN-68305292,2025-12-29T14:12:00.187276,ACC-6819-TKHS,ACC-5673-LFQT,3793.0,USD,wire,0,
TXN-76899487,2026-02-05T17:03:00.187276,ACC-5851-BJFQ,ACC-7412-BCEU,14993.61,USD,internal,0,
TXN-23023643,2026-05-04T20:58:00.187276,ACC-5583-HXSZ,ACC-2750-KPNZ,9790.07,USD,internal,0,
TXN-65392781,2026-01-24T13:37:00.187276,ACC-2161-ZAAB,ACC-7022-XMNL,7076.66,USD,swift,0,
TXN-20204073,2026-03-04T05:52:00.187276,ACC-6551-YGBG,ACC-4739-QGFO,6204.09,USD,swift,0,
